trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
59ec5499-4533-4870-b9fa-25885120d10b,16:16:00,16:16:00,STOP_1473500,9,,0,0,290257.0063331,0
59ec5499-4533-4870-b9fa-25885120d10b,16:45:00,16:45:00,AK_10008,10,,0,0,319272.0918601,0
59ec5499-4533-4870-b9fa-25885120d10b,17:27:00,17:27:00,AK_10007,11,,0,0,351912.7633991,0
59ec5499-4533-4870-b9fa-25885120d10b,17:57:00,18:15:00,AK_10006,12,,0,0,377491.2334153,0
59ec5499-4533-4870-b9fa-25885120d10b,18:40:00,18:40:00,AK_10005,13,,0,0,421477.4161775,0
59ec5499-4533-4870-b9fa-25885120d10b,19:01:00,19:01:00,AK_10004,14,,0,0,460759.9790349,0
59ec5499-4533-4870-b9fa-25885120d10b,19:15:00,19:15:00,AK_10003,15,,0,0,485458.7021367,0
59ec5499-4533-4870-b9fa-25885120d10b,19:56:00,19:56:00,AK_10002,16,,0,0,544676.9312461,0
59ec5499-4533-4870-b9fa-25885120d10b,20:17:00,20:17:00,AK_10001,17,,0,0,573799.8290358,0
59ec5499-4533-4870-b9fa-25885120d10b,20:50:00,20:50:00,AK_10000,18,,0,0,595852.1589929,0
6230b19f-0afe-411e-a14c-052e43e1ede3,19:15:00,19:15:00,AK_10000,1,,0,0,0.0000000,0
6230b19f-0afe-411e-a14c-052e43e1ede3,19:39:00,19:39:00,AK_10001,2,,0,0,22016.8949006,0
6230b19f-0afe-411e-a14c-052e43e1ede3,19:58:00,19:58:00,AK_10002,3,,0,0,71774.0933771,0
6230b19f-0afe-411e-a14c-052e43e1ede3,20:40:00,20:40:00,AK_10003,4,,0,0,178100.1668380,0
6230b19f-0afe-411e-a14c-052e43e1ede3,20:55:00,20:55:00,AK_10004,5,,0,0,308272.8117816,0
6230b19f-0afe-411e-a14c-052e43e1ede3,21:15:00,21:15:00,AK_10005,6,,0,0,476130.1834573,0
6230b19f-0afe-411e-a14c-052e43e1ede3,21:45:00,21:45:00,AK_10006,7,,0,0,687297.2871789,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,08:00:00,08:00:00,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,1,,0,0,0.0000000,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,08:19:00,08:19:00,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,2,,0,0,16444.9729461,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,09:16:00,09:16:00,STOP_1473500,3,,0,0,70792.1285838,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,09:37:00,09:37:00,AK_10008,4,,0,0,98783.5313927,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,10:17:00,10:17:00,AK_10007,5,,0,0,130460.5072017,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,10:50:00,11:10:00,AK_10006,6,,0,0,155749.3002650,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,11:35:00,11:35:00,AK_10005,7,,0,0,199629.8528400,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,11:56:00,11:56:00,AK_10004,8,,0,0,239773.9489092,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,12:10:00,12:10:00,AK_10003,9,,0,0,265240.9978855,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,12:50:00,12:50:00,AK_10002,10,,0,0,323123.1272869,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,13:11:00,13:11:00,AK_10001,11,,0,0,352842.5368245,0
670ec7dc-dbdd-485a-a6b7-5047fdb70885,13:45:00,13:45:00,AK_10000,12,,0,0,375143.5138430,0
